pk;Школа;Специальность;Код специальности;Описание специальностей;Предметы;Минимальные баллы;Трудоустройство;Описание трудоустройства;Практика;Описание практики;Стажировка;Описание стажировки;Количество бюджетных мест;Стоимость обучения;Проходные баллы прошлых лет;Ключевые дисциплины;Смежная специальность;Дополнительные возможности;Выдающийся студент ;Достижения;Учебный план;;;;;;;;;
44;Школа естественных наук;Прикладная математика и информатика;01.03.02;Математик, умеющий программировать - хозяин компьютера. Программист, не знающий математики, - его слуга! Вы получите высшее образование мирового уровня и возможность выбора дальнейшей профессиональной деятельности практически во всех секторах экономики и общественной жизни. Студенты изучают комплекс математических дисциплин: математический анализ, алгебра и геометрия, дискретная математика и логика, математическое моделирование в различных областях и так далее, а также дисциплины, связанные с современными компьютерными технологиями: языки программирования и методы трансляции, системное и прикладное программное обеспечение, компьютерные сети и администрирование, математические основы компьютерной графики, параллельное программирование, программирование в Internet и веб-дизайн, технологии защиты информации и многопроцессорные вычислительные комплексы. Выпускники подготовлены как к продолжению образования в Российской и зарубежной магистратурах, так и к использованию программирования, математического моделирования и информационных технологий в предпринимательской, проектно-конструкторской, управленческой и финансовой деятельности.;"Математика (проф.), 
Информатика, 
Русский язык
";"Математика (проф.) - 39, 
Информатика - 44, 
Русский язык – 40";"Web-разработчик$
Системный администратор$
Математик$
Инженер-программист$ 
Программист$
Научный сотрудник$ 
Системный аналитик$ 
Математик-аналитик$ 
Разработчик Web и мультимедийных приложений$ 
Преподаватель в области математики и информационных технологий";;"Учебные практики$
Конструкторская/технологическая практика$
Производственная практика$
Научно-исследовательская работа$
Преддипломная практика";"Все студенты проходят практику после летней
сессии. Практика длится две недели, все из которых
посвящены работе над проектом, который будет зашищаться впоследствии. ";Наши студенты проходят стажировки и участвуют в проектах партнеров — группы компаний «РМСофт», проекта «КиберРоссия», компании  Mazda Sollers, международного некоммерческого движения WorldSkills Russia, научно-исследовательских институтов ДВО РАН, ООО «Дальневосточный интеллектуальный потенциал», банки «Приморье», ПАО «Сбербанк России», Владивостокский Морской торговый порт, ООО «ФарПост», ООО «ДНС Ритейл», ПАО «МТС» («Мобильные ТелеСистемы»), ПАО «Мегафон», MyTona (ООО «МайТона»);;75;190000;"190,
170,
205,
205,
197
";"Алгоритмы и структуры данных$ 
Математический анализ$ 
Web-программирование$ 
Программирование мобильных и оконных приложений$ 
Линейная алгебра$
Дискретная математика$ 
Экономика$
Базы данных$
Математическое моделирование$
Технологии программирования$
Теория вероятностей и математическая статистика$
";"Математика и компьютерные науки$
Прикладная математика$";"Практику также можно проходить в какой-нибудь компании. Студентов нашей специальности часто
отбирают на стажировки в различные фирмы. Это не только идёт в счёт летней практики, но и
помогает получить опыт работы в индустрии$
Помимо базовых дисциплин программы включают в себя 42 курса по выбору, тем самым позволяют сформировать студенту индивидуальную образовательную траекторию и стать уникальным специалистом на ранке труда. Спектр специализаций довольно широк: 1-с программисты, FrontEnd и BackEnd разработчики, разработчики Web- и мобильных приложений, низкоуровневые программисты. Комбинация образовательных курсов позволяет продолжить обучение в магистратуре и дальнейшей обучение в аспирантуре в области вычислительной математики, математического моделирования и информатики, и вычислительной техники.";;;;;;;;;;;;
33;Школа естественных наук;Программная инженерия;09.03.04;"Студенты научатся проектировать, кодировать и тестировать программные средства, планировать и оптимизировать процессы разработки программ; узнают алгоритмические языки и базовые структуры данных и овладеют соответствующими им шаблонами проектирования, различными технологиями программирования; научатся производить рефакторинг программного кода, разработку и анализ метрик качества программ. Особенностью образовательной программы в ДВФУ является углублённое изучение систем искусственного интеллекта. Некоторые дисциплины изучаются на английском языке в рамках международных программ академического партнерства. Это дает возможность студентам участвовать в программах международной академической мобильности, продолжить своё обучение за рубежом, работать по окончании обучения в самых успешных и перспективных ИТ компаниях.
Основные будущие профессии выпускников этого направления – инженер-программист и системный аналитик. Те выпускники, которые станут инженерами-программистами, будут заниматься разработкой программ в самых разных аспектах: работать с заказчиком, изучать предметную область, формулировать и анализировать требования, разрабатывать архитектуру программного средства, писать программный код на высоком профессиональном уровне. Работа системного аналитика посвящена управлению процессом разработки программ и обеспечению качества программных средств. Эти специалисты планируют производственные процессы в рамках выбранной технологии программирования, оценивают эффективность работы над проектом, формируют рекомендации и инструкции для работы команд разработчиков.";"Информатика,
Математика (проф.),
Русский язык
";"Информатика - 44,
Математика (проф.) - 39,
Русский язык - 40
";"Разработчик программного обеспечения$
Инженер-программист$
Системный аналитик$
Системный администратор$
Специалист ИТ-отдела$
Мобильный разработчик$
Менеджер по разработке программного обеспечения";;"Учебные  практики$
Производственные практики$";"На первых двух курсах практика учебная. Ваш руководитель даст задание которое нужно будет выполнять в течении практики.$
На 3 и 4 курсах практика уже будет производственная, где Вы будете работать в компании. Среди компаний будут такие как: ООО «Фарпост», ООО «Ронда», ПАО «Сбербанк», ООО «ДНС Приморье» и т.д.";ООО «Фарпост», ООО «Ронда», ПАО «Сбербанк», ООО «ДНС Приморье», Институт автоматики и процессов управления ДВО РАН и т.д.;;124;210000;"209,
182,
207,
216,
200
";"Математический анализ$
Алгебра и теория чисел$
Дифференциальные уравнения$
Основы алгоритмизации и программирования$
Объектно-ориентированное программирование$
Современные информационные технологии$
Теория языков программирования и компиляторы$
Проектирование и разработка баз данных$
Введение в программную инженерию$
Фундаментальные структуры данных и алгоритмы";"Математическое обеспечение и администрирование информационных систем$
Прикладная математика и информатика";Выпускники смогут продолжить обучение в магистратуре по направлениям 09.04.04 Программная инженерия и 01.04.02 Прикладная математика и информатика;;;;;;;;;;;;
61;Школа естественных наук;Физика;03.03.02;"Поступив на физику, вы встретите сочетание интенсивной подготовки студентов по математике, общей, теоретической, вычислительной физике и специального обучения студентов с постепенным включением их в реальную научно-исследовательскую работу. Выпускники программы приобретут необходимые навыки исследователей и получат глубокие знания в области естественных наук. В процессе обучения студенты сформируют физико-математическое мышление, получат качественное и современное образование с набором компетенций, обеспечивающих практическую реализацию приобретённых знаний в сферах науки, производства, образования и предпринимательской деятельности, подготовятся к деятельности в области исследований, анализа и моделирования физических явлений на микро-, макро- и мега-уровнях.
Обучающие смогут выбирать спецкурсы, близкие к их профессиональным предпочтениям, разрабатывать теоретические модели, проводить эксперименты, обрабатывать результаты и составлять отчеты, научатся решать задачи, которые ставит как современная физика, так и различные отрасли науки и техники.
Востребованность физиков определяется необходимостью наличия на рынке труда специалистов, обладающих развитыми компетенциями в области исследования, разработки и технологий, направленных на регистрацию и обработку информации, разработку теории и моделей, в области фундаментальной и прикладной физики: физические системы различного масштаба и уровней организации, процессы их функционирования; физические, инженерно-физические, биофизические, химико-физические, медикофизические, природоохранительные технологии, технологии создания материалов для наноэлектроники. В настоящее время наблюдается востребованность выпускников во многих областях наук, например в геофизике, геологии и др., а также в производстве, IT индустрии, медицине – ведь в этих областях требуется высококвалифицированный персонал, в том числе с классическим физическим образованием, имеющий необходимые знания и компетенции для эксплуатации разного оборудования.";"Физика,
Математика (проф.), 
Русский язык
";"Физика - 39,
Математика (проф.) - 39, 
Русский язык - 40
";"Физик$
Специалист по фотонике$
Инженер$
Преподаватель физики$
Лаборант$
Научный сотрудник";;"Учебные практики$
Производственная практика$
Научно-исследовательская работа$
Преддипломная практика";"Учебные практики представляют собой выполнение определенных заданий и защиту отчетов по практике.$
Производственные практики студенты могут организовывать самостоятельно, заключая договор со сторонней организацией.$
Научно-исследовательская работа подразумевает выбор руководителя и темы работы, после защиты которой можно принять участие в конференции.$";Обычно практику можно проходить в институтах ДВО РАН, занимаясь научно-исследовательской работой;;50;210000;"161,
170,
171,
170,
158
";"Математический анализ$
Алгебра и аналитическая геометрия$
Программирование и численные методы$
Механика$
Молекулярная физика$
Введение в специальность$
Векторный и тензорный анализ$
Дифференциальные и интегральные уравнения, вариационное исчисление$
Теория вероятностей и математическая статистика$
Оптика$
Электричество и магнетизм$
Методы математической физики$
Теоретическая механика$
Методика преподавания физики$
Введение в астрофизику$
Физические методы исследования вещества";Электроника и наноэлектроника$;В процессе обучения, начиная с 3 курса, студенты прикрепляются к ведущим научным группам  в  порядке очередности в зависимости от личных достижений и предпочтений студентов. Таким образом начинается научно-исследовательская работа, результатом которой станет подготовка докладов на конференциях различного уровня, возможность участвовать в конкурсах на индивидуальные стипендии и проекты, такие как travel-гранты, и выпускная квалификационная работа. К обучению студентов привлекаются сотрудники ведущих институтов РАН, обеспечивая тесную связь учебного процесса с современными научными достижениями, что является залогом успеха подготовки кадров высшей квалификации.;;;;;;;;;;;;
27;Школа естественных наук;Химическая технология ;18.03.01;«Химическая технология» – это единственное инженерное направление, совмещающее в себе как инженерную, так и естественнонаучную (химическую) подготовку. Студенты программы получат классическое инженерное образование, чтобы уверенно чувствовать себя в производственно-технологической, организационно-управленческой, научно-исследовательской и проектной работе. Химики-технологи востребованы на химических производствах, в научно-исследовательских институтах и проектных бюро. Они – лидеры Национальной технологической инициативы и управленцы перспективных стартапов.;"Химия,
Математика (проф.), 
Русский язык 
";"Химия - 39,
Математика (проф.) - 39, 
Русский язык - 40
";"Оператор технических установок$
Лаборант химического анализа$
Инженер-технолог$
Научный сотрудник$
Инженер-композитчик";;"Практика по получению первичных профессиональных умений и навыков$
Практика по получению профессиональных умений и опыта организационно-управленческой проектной деятельности$
Технологическая практика$
Научно-исследовательская работа$
Преддипломная практика$
";Практики, которые студенты проходят в лабораториях ДВФУ, на действующих предприятиях и/или научно-исследовательских институтах;"АО «Восточная нефтехимическая компания»$
ПАО «СИБУР Холдинг»$ 
ООО «РН-Востокнефтепродукт»$ 
ПАО «Роснефть»$ 
АО «ННК-Хабаровский НПЗ»$
Институт химии ДВО РАН 
";;50;210000;"190,
164,
152,
190,
193
";"Высшая математика$
Прикладная математика$
Физика$
Информатика$
Общая и неорганическая химия$
Аналитическая химия и физико-химические методы анализа$
Органическая химия$
Физическая и коллоидная химия$
Инженерная графика$
Процессы и аппараты химической технологии$
Теоретическая и прикладная механика$
Гидравлика и теплотехника$
Метрология, стандартизация, сертификация, основы квалиметрии и управления качеством$
Материаловедение$
Электротехника и промышленная электроника$
Основы экономики и управления производством";"Химия$
Нефтегазовое дело";"За время обучения вы научитесь использовать системный подход для описания основных процессов и технологий химических и нефтеперерабатывающих производств, освоите компьютерные технологии моделирования и проектирования химико-технологических процессов и систем, анализа и синтеза систем управления химико-технологическими процессами на современном программном обеспечении для моделирования технологических процессов на промышленных предприятиях$
Лаборатории, оснащенные современными приборами и оборудованием$ 
Возможность сотрудничества с ведущими учеными Дальневосточного отделения Российской академии наук и сотрудниками химических и нефтеперерабатывающих производств";;;;;;;;;;;;
41;Школа естественных наук;Химия;04.03.01;"На протяжении всего обучения на бакалавриат по направлению ""Химия"", студенты могут познакомиться с самыми разными химическими лабораториями Дальневосточного федерального университета. Начиная свое обучение с лаборатории неорганической химии и заканчивая органической химией. Студенты нашего направления - это люди, которые получают фундаментальные знания по разным областям химии. Таких как неорганическая, аналитическая, физическая, коллоидная, органическая и биоорганическая химия, а также смежных с ними науках.

Выпускники по направлению ""Химия"" приобретает способность выбирать и использовать технические средства и методы испытаний для решения исследовательских задач химической направленности.
Способность участвовать в разработке основных и дополнительных образовательных программ, разрабатывать отдельные их компоненты формируется в результате освоения дисциплины «Методика преподавания химии в школе», а также прохождение педагогической практики в школах.

Выпускники нашего направления пользуются спросом в ведомственные лаборатории силовых ведомств, нефтеперерабатывающей промышленности, а также в академических институтах химического направления (ТИБОХ ДВО РАН и ИХ ДВО РАН).
";"Химия,
Математика (проф.), 
Русский язык
";"Химия - 39,
Математика (проф.) - 39, 
Русский язык - 40
";"Биохимик$
Инженер-химик пищевого производства$
Научный сотрудник в области химии$
Лаборант$
Химик-аналитик$
Химик-неорганик$
Химик-органик$
Преподаватель химических дисциплин
";;"Учебные  практики$
Практики в лабораториях и институтах$";Практики, которые студенты проходят в лабораториях ДВФУ, на действующих предприятиях и/или научно-исследовательских институтах;Стажировки в пределах г. Владивосток;"Также существует возможность пройти научную стажировку в лабораториях ДВФУ и институтах ДВО РАН в пригороде Владивостока. 

";50;210000;"144,
132,
150,
187,
199
";"Неорганическая химия$
Аналитическая химия$
Физическая химия$
Органическая химия$
Химические основы биологических процессов$
Высокомолекулярные соединения$
Коллоидная химия$
Кристаллохимия$
Высшая математика$
Физика$
Физические методы исследования$
Строение вещества с основами квантовой химии и квантовой механики
";Химическая технология;"Есть разные олимпиады по предметам химии – о них можно узнать от преподавателей кафедры. Также существуют олимпиады WorldSkills и ""Я профессионал"", в которых наши студенты принимают активное участие. ";;;;;;;;;;;;
60;Школа естественных наук;Экология и природопользование;05.03.06;Студенты-экологи получают фундаментальные знания в области функционирования природных, антропогенных, природно-антропогенных систем, а также профессиональные компетенции, необходимые для оценки, управления и моделирования процессов взаимодействия организмов с окружающей средой. В процессе обучения студенты участвуют в проведении научных исследований в области экологии и охраны природы, получают знания, умения и навыки в области научно-исследовательской, экспертно-аналитической и контрольно-надзорной областей профессиональной деятельности.;"География,
Математика (проф.), 
Русский язык
";"География - 39,
Математика (проф.) - 39, 
Русский язык - 40
";"Ведущий эколог$
Эколог на разных предприятиях$
Специалист по охране окружающей среды$
Преподаватель экологии$
Лаборант$
Научный сотрудник в области экологии";;"Учебные практики$
Производственная практика$
Преддипломная практика";"После окончания 1 курса вас ждёт полевая практика на биологической станции
После второго курса практик будет две: полевая и практика на базе университета, в лабораториях кафедры экологии
На 3 курсе: учебная и производственная
На 4 курсе: производственная и преддипломная";Выездные стажировки;"На всех курсах  – по инициативе студента может быть организована и профинансирована за счет собственных тревел-грантов Школы естественных наук ДВФУ стажировка по России и за рубежом.

3 и 4 курс – по инициативе студента или его научного руководителя в рамках прохождения производственной практики может быть организована стажировка на предприятии и в организациях Приморского края.

4 курс – по инициативе студента  может быть оформлен обмен по программе обучения в другом вузе с перезачетом дисциплин.";20;210000;"159,
144,
157,
180,
163
";"Зоология$
Ботаника$
Общая экология$
Природопользование$
Экологический мониторинг$
Экология как биологическая наука о живых системах$
Место и роль живых организмов в биосфере$
Представления о структуре и функциях биосферы$
Формирование базового экологического мышления$
Существующие экологические проблемы и путей их решения$
Источники загрязнения и их воздействие на окружающую среду$
Методы, используемые при проведении экологического мониторинга
";"География$
Биология$";;;;;;;;;;;;;
30;Школа естественных наук;Электроника и наноэлектроника;11.03.04;"Инновационная область не обходится без нанотехнологий! Студенты направления «Электроника и наноэлектроника» готовятся овладеть средствами, способами и методами человеческой деятельности, направленных на теоретическое и экспериментальное исследование, математическое и компьютерное моделирование, проектирование, конструирование, использование и эксплуатацию материалов, компонентов, электронных приборов, устройств, установок вакуумной, плазменной, твердотельной, оптической, микро- и наноэлектроники, а также фотоники и оптоэлектроники различного функционального назначения.
Обучение ориентировано на подготовку специалистов в области микроэлектроники, наноэлектроники и нанотехнологий, оптоэлектроники и информационной оптики.
Разработка и эксплуатация приборов и устройств микроэлектроники и наноэлектроники, основанных на применении наноматериалов, в том числе и магнитных, полупроводниковых гетероструктур и наногетероструктур, фотодиодов, светодиодов, транзисторов и приборов, основанных на квантовых принципах, требует наличия знаний и умений в области теоретической и экспериментальной физики, физики твердого тела, физики наноструктур, микро- и наноэлектроники, технологии роста полупроводниковых гетероструктур, сверхрешеток и полупроводниковых наноматериалов, основ радиоэлектроники и микросхемотехники, технологии нанолитографии, методов исследования свойств структур с пониженной размерностью и наноматериалов, методов моделирования квантоворазмерных структур, информатики, техники сверхвысокого вакуума, парового химического осаждения из металлорганических соединений и атомного слоевого осаждения.";"Математика (проф.),
Физика,
Русский язык
";"Математика (проф.) - 39,
Физика – 39,
Русский язык - 40
";"Выпускники поступают в магистратуру и аспирантуру на специальность “Физика конденсированного состояния”$
Устраиваются в Институты Дальневосточного отделения Российской академии наук ИАПУ, ИХ ДВО РАН, ТОИ, ДВГИ – инженер, инженер электроник, лаборант$ 
ЗАО ""РТК"" – специалисты";;Наши студенты проходят практику и выполняют квалификационные работы на базе Лаборатории пленочных технологий ДВФУ и отдела Физики поверхности ИАПУ ДВО РАН. Уровень оснащения оборудованием находится на уровне лучших мировых лабораторий;;"Институт автоматики и процессов управления ДВО РАН, Отдел физики поверхности$
Институт химии ДВО РАН$
Дальневосточный геологический институт ДВО РАН$
Коммерческие организации, занимающиеся деятельностью в области эксплуатации сложного технологического оборудования$
Департаменты информационных технологий вузов";;не набирали в 2020;не набирали в 2020;"161,
119,
164,
0,
0
";"Введение в специальность$
Математический анализ$
Дифференциальные уравнения$
Механика и молекулярная физика$
Электричество и магнетизм$
Оптика и атомная физика$
Физика конденсированного состояния$
Наноэлектроника$
Теоретические основы электротехники$
Методы математической физики$
Основы технологии и расчета электронной компонентной базы";"Физика$
Инфокоммуникационные технологии и системы связи$
Мехатроника и робототехника";Вы сможете участвовать в проектно-конструкторской и научно-исследовательской деятельности на современном оборудовании, в том числе на базе партнерских институтов Дальневосточного отделения Российской академии наук;;;;;;;;;;;;
64;Школа искусств и гуманитарных наук;Дизайн;54.03.01;;"Проф. испытание, 
Творч. испытание, 
Русский язык,
Литература
";"Проф. испытание - 50, 
Творч. испытание - 40, 
Русский язык - 40,
Литература - 40
";;;;;;;31;285000;"290,
284,
305,
311,
324
";;;;;;;;;;;;;;;
12;Школа искусств и гуманитарных наук;Журналистика;42.03.02;;"Проф. испытание, 
Творч. испытание, 
Литература,
Русский язык
";"Проф. испытание - 50, 
Творч. испытание - 50, 
Литература - 40,
Русский язык - 40
";;;;;;;25;210000;"345,
353,
368,
364,
348
";;;;;;;;;;;;;;;
65;Школа искусств и гуманитарных наук;История;46.03.01;;"История,
Обществознание,
Русский язык
";"История - 35,
Обществознание - 45,
Русский язык - 40
";;;;;;;25;190000;"203,
211,
216,
226,
218
";;;;;;;;;;;;;;;
18;Школа искусств и гуманитарных наук;Конфликтология;37.03.02;;"Обществознание,
Русский язык,
История
";"Обществознание - 45,
Русский язык - 40,
История - 35
";;;;;;;25;210000;"195,
198,
219,
208,
215
";;;;;;;;;;;;;;;
50;Школа искусств и гуманитарных наук;Психология;37.03.01;;"Биология,
Математика (проф.),
Или обществознание, 
Русский язык
";"Биология - 39,
Математика (проф.) – 39,
Или обществознание - 45, 
Русский язык - 40
";;;;;;;25;210000;"175,
196,
204,
211,
181
";;;;;;;;;;;;;;;
46;Школа искусств и гуманитарных наук;Реклама и связи с общественностью;42.03.01;;"Обществознание,
Русский язык,
История
";"Обществознание - 45,
Русский язык - 40,
История - 35
";;;;;;;30;210000;"223,
233,
217,
228,
254
";;;;;;;;;;;;;;;
15;Школа искусств и гуманитарных наук;Социология;39.03.01;;"Обществознание, 
Математика (проф.),
Или информатика, 
Русский язык
";"Обществознание - 45, 
Математика (проф.) – 39,
Или информатика - 44, 
Русский язык - 40
";;;;;;;25;190000;"196,
197,
202,
209,
214
";;;;;;;;;;;;;;;
3;Школа искусств и гуманитарных наук;Теология;48.03.01;;"История,
Обществознание,
Русский язык
";"История - 35,
Обществознание - 45,
Русский язык - 40
";;;;;;;25;190000;"0,
184,
187,
190,
186
";;;;;;;;;;;;;;;
70;Школа искусств и гуманитарных наук;Физическая культура;45.03.09;;"Проф. испытание,
Биология,
Русский язык
";"Проф. испытание - 50,
Биология - 39,
Русский язык - 40
";;;;;;;25;285000;"186,
207,
194,
182,
170
";;;;;;;;;;;;;;;
1;Школа искусств и гуманитарных наук;Философия;47.03.01;;"История,
Обществознание,
Русский язык
";"История - 35,
Обществознание - 45,
Русский язык - 40
";;;;;;;16;190000;"189,
197,
208,
205,
209
";;;;;;;;;;;;;;;
8;Школа педагогики;"Педагогическое образование (Русский язык как
иностранный)
";44.03.01;"Богатство русского языка и созданной на нем литературы вызывает интерес к этому языку во всем мире. В школах и вузах многих стран русский язык изучается в качестве  обязательного иностранного языка. Учиться по этой программе могут как иностранцы, так и русские студенты (носители языка). 
В процессе обучения студенты глубоко 
 изучают научные основы русского языка;
  усваивают нормы русского литературного языка;
  совершенствуют свои коммуникативно-речевые навыки, в том числе и навыки публичного выступления на научных конференциях разного уровня; 
 знакомятся с культурным наследием нашей страны (литературой, живописью, музыкой и др.) как на учебных  занятиях, так и во внеаудиторной работе. 

";"Русский язык,
Обществознание,
Математика (проф.),
Или литература,
Или иностранный язык 
";"Русский язык - 40,
Обществознание – 45,
Математика (проф.) – 39,
Или литература – 40,
Или иностранный язык - 30
";"Образовательные учреждения$ 
Организации дополнительного образования                                           Курсы русского языка для иностранцев в России и за рубежом. ";Овладевая методикой преподавания русского языка как иностранного, студенты приобретают профессионально значимые умения и навыки, необходимые им в работе с иностранными обучаемыми. ;Педагогическая практика;Педагогическую практику студенты проходят в группах иностранцев, изучающих русский язык на курсах в Школе педагоги ДВФУ Вместе с руководителем практики студенты (в том числе и иностранные) посещают уроки русского языка в школе, проводят внеклассные мероприятия с детьми. Есть возможность   проходить  педагогическую  практику в школах за рубежом. ;Стажировка в школах за рубежом;Студенты вместе с преподавателями участвуют в организации мероприятий, в проведении занятий с иностранцами (школьниками, студентами),  приезжающими в Школу педагогики в составе делегаций. ;20;не набирали в 2020;0,0,0,0,0;лингвострановедение  этнолингвистика,  русский фольклор          история русской литературы и культуры педагогическая риторика  стилистика         методика обучения русскому языку как иностранному;;;;;;;;;;;;;;
